,date,title,point
0,2021-12-12,밥정,9.61
1,2021-12-12,그린 북,9.60
2,2021-12-12,가버나움,9.59
3,2021-12-12,디지몬 어드벤처 라스트 에볼루션 : 인연,9.55
4,2021-12-12,원더,9.53
5,2021-12-12,베일리 어게인,9.53
6,2021-12-12,아일라,9.52
7,2021-12-12,극장판 바이올렛 에버가든,9.51
8,2021-12-12,당갈,9.49
9,2021-12-12,먼 훗날 우리,9.49
10,2021-12-12,포드 V 페라리,9.48
11,2021-12-12,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.47
12,2021-12-12,주전장,9.47
13,2021-12-12,쇼생크 탈출,9.45
14,2021-12-12,터미네이터 2:오리지널,9.45
15,2021-12-12,덕구,9.43
16,2021-12-12,나 홀로 집에,9.43
17,2021-12-12,클래식,9.43
18,2021-12-12,라이언 일병 구하기,9.43
19,2021-12-12,월-E,9.42
20,2021-12-12,보헤미안 랩소디,9.42
21,2021-12-12,빽 투 더 퓨쳐,9.42
22,2021-12-12,사운드 오브 뮤직,9.41
23,2021-12-12,포레스트 검프,9.41
24,2021-12-12,위대한 쇼맨,9.41
25,2021-12-12,글래디에이터,9.41
26,2021-12-12,타이타닉,9.41
27,2021-12-12,인생은 아름다워,9.40
28,2021-12-12,헬프,9.40
29,2021-12-12,살인의 추억,9.40
30,2021-12-12,매트릭스,9.40
31,2021-12-12,잭 스나이더의 저스티스 리그,9.40
32,2021-12-12,가나의 혼인잔치: 언약,9.40
33,2021-12-12,센과 치히로의 행방불명,9.39
34,2021-12-12,토이 스토리 3,9.39
35,2021-12-12,캐스트 어웨이,9.39
36,2021-12-12,헌터 킬러,9.39
37,2021-12-12,집으로...,9.38
38,2021-12-12,반지의 제왕: 왕의 귀환,9.38
39,2021-12-12,태극권,9.38
40,2021-12-12,죽은 시인의 사회,9.38
41,2021-12-12,어벤져스: 엔드게임,9.38
42,2021-12-12,히든 피겨스,9.38
43,2021-12-12,레옹,9.38
44,2021-12-12,알라딘,9.38
45,2021-12-12,쉰들러 리스트,9.37
46,2021-12-12,아이 캔 스피크,9.37
47,2021-12-12,클레멘타인,9.37
48,2021-12-12,동주,9.37
49,2021-12-12,안녕 베일리,9.37
50,2021-12-13,밥정,9.61
51,2021-12-13,그린 북,9.60
52,2021-12-13,가버나움,9.59
53,2021-12-13,디지몬 어드벤처 라스트 에볼루션 : 인연,9.55
54,2021-12-13,원더,9.53
55,2021-12-13,베일리 어게인,9.53
56,2021-12-13,아일라,9.52
57,2021-12-13,극장판 바이올렛 에버가든,9.51
58,2021-12-13,당갈,9.49
59,2021-12-13,먼 훗날 우리,9.49
60,2021-12-13,포드 V 페라리,9.48
61,2021-12-13,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.47
62,2021-12-13,주전장,9.47
63,2021-12-13,쇼생크 탈출,9.45
64,2021-12-13,터미네이터 2:오리지널,9.45
65,2021-12-13,덕구,9.43
66,2021-12-13,나 홀로 집에,9.43
67,2021-12-13,클래식,9.43
68,2021-12-13,라이언 일병 구하기,9.43
69,2021-12-13,월-E,9.42
70,2021-12-13,보헤미안 랩소디,9.42
71,2021-12-13,빽 투 더 퓨쳐,9.42
72,2021-12-13,사운드 오브 뮤직,9.41
73,2021-12-13,포레스트 검프,9.41
74,2021-12-13,위대한 쇼맨,9.41
75,2021-12-13,글래디에이터,9.41
76,2021-12-13,타이타닉,9.41
77,2021-12-13,인생은 아름다워,9.40
78,2021-12-13,헬프,9.40
79,2021-12-13,살인의 추억,9.40
80,2021-12-13,매트릭스,9.40
81,2021-12-13,잭 스나이더의 저스티스 리그,9.40
82,2021-12-13,가나의 혼인잔치: 언약,9.40
83,2021-12-13,센과 치히로의 행방불명,9.39
84,2021-12-13,토이 스토리 3,9.39
85,2021-12-13,캐스트 어웨이,9.39
86,2021-12-13,헌터 킬러,9.39
87,2021-12-13,집으로...,9.38
88,2021-12-13,반지의 제왕: 왕의 귀환,9.38
89,2021-12-13,태극권,9.38
90,2021-12-13,죽은 시인의 사회,9.38
91,2021-12-13,어벤져스: 엔드게임,9.38
92,2021-12-13,히든 피겨스,9.38
93,2021-12-13,레옹,9.38
94,2021-12-13,알라딘,9.38
95,2021-12-13,쉰들러 리스트,9.37
96,2021-12-13,아이 캔 스피크,9.37
97,2021-12-13,클레멘타인,9.37
98,2021-12-13,동주,9.37
99,2021-12-13,안녕 베일리,9.37
100,2021-12-14,밥정,9.61
101,2021-12-14,그린 북,9.60
102,2021-12-14,가버나움,9.59
103,2021-12-14,디지몬 어드벤처 라스트 에볼루션 : 인연,9.55
104,2021-12-14,원더,9.53
105,2021-12-14,베일리 어게인,9.53
106,2021-12-14,아일라,9.52
107,2021-12-14,극장판 바이올렛 에버가든,9.51
108,2021-12-14,당갈,9.49
109,2021-12-14,먼 훗날 우리,9.49
110,2021-12-14,포드 V 페라리,9.48
111,2021-12-14,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.47
112,2021-12-14,주전장,9.47
113,2021-12-14,쇼생크 탈출,9.45
114,2021-12-14,터미네이터 2:오리지널,9.45
115,2021-12-14,덕구,9.43
116,2021-12-14,나 홀로 집에,9.43
117,2021-12-14,클래식,9.43
118,2021-12-14,라이언 일병 구하기,9.43
119,2021-12-14,월-E,9.42
120,2021-12-14,보헤미안 랩소디,9.42
121,2021-12-14,빽 투 더 퓨쳐,9.42
122,2021-12-14,사운드 오브 뮤직,9.41
123,2021-12-14,포레스트 검프,9.41
124,2021-12-14,위대한 쇼맨,9.41
125,2021-12-14,글래디에이터,9.41
126,2021-12-14,타이타닉,9.41
127,2021-12-14,인생은 아름다워,9.40
128,2021-12-14,헬프,9.40
129,2021-12-14,살인의 추억,9.40
130,2021-12-14,매트릭스,9.40
131,2021-12-14,잭 스나이더의 저스티스 리그,9.40
132,2021-12-14,가나의 혼인잔치: 언약,9.40
133,2021-12-14,센과 치히로의 행방불명,9.39
134,2021-12-14,토이 스토리 3,9.39
135,2021-12-14,캐스트 어웨이,9.39
136,2021-12-14,헌터 킬러,9.39
137,2021-12-14,집으로...,9.38
138,2021-12-14,반지의 제왕: 왕의 귀환,9.38
139,2021-12-14,태극권,9.38
140,2021-12-14,죽은 시인의 사회,9.38
141,2021-12-14,어벤져스: 엔드게임,9.38
142,2021-12-14,히든 피겨스,9.38
143,2021-12-14,레옹,9.38
144,2021-12-14,알라딘,9.38
145,2021-12-14,쉰들러 리스트,9.37
146,2021-12-14,아이 캔 스피크,9.37
147,2021-12-14,클레멘타인,9.37
148,2021-12-14,동주,9.37
149,2021-12-14,안녕 베일리,9.37
150,2021-12-15,밥정,9.61
151,2021-12-15,그린 북,9.60
152,2021-12-15,가버나움,9.59
153,2021-12-15,디지몬 어드벤처 라스트 에볼루션 : 인연,9.55
154,2021-12-15,원더,9.53
155,2021-12-15,베일리 어게인,9.53
156,2021-12-15,아일라,9.52
157,2021-12-15,스파이더맨: 노 웨이 홈,9.51
158,2021-12-15,극장판 바이올렛 에버가든,9.51
159,2021-12-15,당갈,9.49
160,2021-12-15,먼 훗날 우리,9.49
161,2021-12-15,포드 V 페라리,9.48
162,2021-12-15,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.47
163,2021-12-15,주전장,9.47
164,2021-12-15,쇼생크 탈출,9.45
165,2021-12-15,터미네이터 2:오리지널,9.45
166,2021-12-15,덕구,9.43
167,2021-12-15,나 홀로 집에,9.43
168,2021-12-15,클래식,9.43
169,2021-12-15,라이언 일병 구하기,9.43
170,2021-12-15,월-E,9.42
171,2021-12-15,보헤미안 랩소디,9.42
172,2021-12-15,빽 투 더 퓨쳐,9.42
173,2021-12-15,사운드 오브 뮤직,9.41
174,2021-12-15,포레스트 검프,9.41
175,2021-12-15,위대한 쇼맨,9.41
176,2021-12-15,글래디에이터,9.41
177,2021-12-15,타이타닉,9.41
178,2021-12-15,인생은 아름다워,9.40
179,2021-12-15,헬프,9.40
180,2021-12-15,살인의 추억,9.40
181,2021-12-15,매트릭스,9.40
182,2021-12-15,잭 스나이더의 저스티스 리그,9.40
183,2021-12-15,가나의 혼인잔치: 언약,9.40
184,2021-12-15,센과 치히로의 행방불명,9.39
185,2021-12-15,토이 스토리 3,9.39
186,2021-12-15,캐스트 어웨이,9.39
187,2021-12-15,헌터 킬러,9.39
188,2021-12-15,집으로...,9.38
189,2021-12-15,반지의 제왕: 왕의 귀환,9.38
190,2021-12-15,태극권,9.38
191,2021-12-15,죽은 시인의 사회,9.38
192,2021-12-15,어벤져스: 엔드게임,9.38
193,2021-12-15,히든 피겨스,9.38
194,2021-12-15,레옹,9.38
195,2021-12-15,알라딘,9.38
196,2021-12-15,쉰들러 리스트,9.37
197,2021-12-15,아이 캔 스피크,9.37
198,2021-12-15,클레멘타인,9.37
199,2021-12-15,동주,9.37
